No.,회계연도,소관명,(세입)예산현액(원),(세입)수납액(원),(세입)증감액(원),(세출)예산현액(원),(세출)지출액(원),(세출)증감액(원),다음년도이월액(원),불용액(원)
"157","2022","방송통신위원회","31,109,000,000","22,348,847,950","-8,760,152,050","50,676,000,000","47,980,184,700","2,695,815,300","134,000,000","2,561,815,300"
"158","2022","방위사업청","323,335,000,000","242,060,908,500","-81,274,091,500","16,425,500,451,290","15,744,774,187,560","680,726,263,730","382,002,059,890","298,724,203,840"
"159","2022","법무부","1,477,330,000,000","1,413,125,894,140","-64,204,105,860","4,267,292,427,770","4,183,635,253,460","83,657,174,310","6,859,588,570","76,797,585,740"
"160","2022","법제처",0,"289,117,610","289,117,610","42,951,600,000","40,670,084,140","2,281,515,860",0,"2,281,515,860"
"161","2022","병무청","302,000,000","483,439,740","181,439,740","272,021,000,000","241,580,945,180","30,440,054,820",0,"30,440,054,820"
"162","2022","보건복지부","713,006,000,000","1,244,919,650,970","531,913,650,970","67,573,468,737,180","67,157,907,539,060","415,561,198,120","28,227,955,870","387,333,242,250"
"163","2022","산림청","1,092,578,000,000","1,276,515,995,600","183,937,995,600","3,409,408,929,810","3,295,148,116,270","114,260,813,540","87,576,699,770","26,684,113,770"
"164","2022","산업통상자원부","7,800,423,800,000","7,843,854,105,210","43,430,305,210","10,854,398,082,340","10,702,648,898,750","151,749,183,590","6,620,323,140","145,128,860,450"
"165","2022","새만금개발청","7,903,000,000","9,920,082,540","2,017,082,540","254,148,841,670","244,994,115,090","9,154,726,580","5,276,095,290","3,878,631,290"
"166","2022","소방청","3,579,000,000","3,475,056,510","-103,943,490","262,615,367,720","236,760,351,890","25,855,015,830","18,897,955,440","6,957,060,390"
"167","2022","식품의약품안전처","50,145,000,000","34,692,389,010","-15,452,610,990","665,473,060,430","641,571,593,840","23,901,466,590","9,373,860,930","14,527,605,660"
"168","2022","여성가족부","13,492,000,000","34,525,687,330","21,033,687,330","695,335,040,250","665,630,541,940","29,704,498,310","13,452,244,990","16,252,253,320"
"169","2022","외교부","231,958,000,000","291,599,632,660","59,641,632,660","2,891,047,566,500","2,811,547,122,320","79,500,444,180","6,516,848,240","72,983,595,940"
"170","2022","원자력안전위원회","1,677,000,000","2,951,452,620","1,274,452,620","156,067,724,000","154,929,817,750","1,137,906,250",0,"1,137,906,250"
"171","2022","인사혁신처","60,568,000,000","60,847,209,050","279,209,050","4,226,301,530,000","4,219,752,557,200","6,548,972,800","66,361,860","6,482,610,940"
"172","2022","조달청","493,987,000,000","573,070,293,170","79,083,293,170","500,216,448,160","477,326,432,040","22,890,016,120","7,483,243,460","15,406,772,660"
"173","2022","중소벤처기업부","184,654,000,000","173,897,592,390","-10,756,407,610","49,108,684,991,000","49,099,604,846,510","9,080,144,490","3,269,433,820","5,810,710,670"
